"","Doxorubicin_IC_50","Etoposide_IC_50","Gemcitabine_IC_50","Mitomycin.C_IC_50","Vinorelbine_IC_50","NSC.87877_IC_50","Bicalutamide_IC_50","QS11_IC_50","Midostaurin_IC_50","CHIR.99021_IC_50","AP.24534_IC_50","AZD6482_IC_50","JNK.9L_IC_50","PF.562271_IC_50","DMOG_IC_50","FTI.277_IC_50","OSU.03012_IC_50","Shikonin_IC_50","AKT.inhibitor.VIII_IC_50","Embelin_IC_50","FH535_IC_50","PAC.1_IC_50","IPA.3_IC_50","GSK.650394_IC_50","BAY.61.3606_IC_50","Thapsigargin_IC_50","Obatoclax.Mesylate_IC_50","BMS.754807_IC_50","OSI.906_IC_50","Bexarotene_IC_50","Bleomycin_IC_50","LFM.A13_IC_50","AUY922_IC_50","Bryostatin.1_IC_50","Pazopanib_IC_50","LAQ824_IC_50","Epothilone.B_IC_50","GSK.1904529A_IC_50","Tipifarnib_IC_50","AS601245_IC_50","AICAR_IC_50","Camptothecin_IC_50","Vinblastine_IC_50","Cisplatin_IC_50","Cytarabine_IC_50","Docetaxel_IC_50","Methotrexate_IC_50","ATRA_IC_50","Gefitinib_IC_50","ABT.263_IC_50","Vorinostat_IC_50","RDEA119_IC_50","Temsirolimus_IC_50","AZD.2281_IC_50","ABT.888_IC_50","Bosutinib_IC_50","Lenalidomide_IC_50","Axitinib_IC_50","AZD7762_IC_50","GW.441756_IC_50","CEP.701_IC_50","X17.AAG_IC_50","VX.702_IC_50","AMG.706_IC_50","KU.55933_IC_50","Elesclomol_IC_50","BIBW2992_IC_50","GDC.0449_IC_50","PLX4720_IC_50","BX.795_IC_50","NU.7441_IC_50","BIRB.0796_IC_50","JNK.Inhibitor.VIII_IC_50","Nutlin.3a_IC_50","PD.173074_IC_50","RO.3306_IC_50","NVP.BEZ235_IC_50","GDC0941_IC_50","AZD8055_IC_50","PD.0325901_IC_50","CCT007093_IC_50","EHT.1864_IC_50","BMS.708163_IC_50","PF.4708671_IC_50","JNJ.26854165_IC_50","TW.37_IC_50","AG.014699_IC_50"
"LS-411N",-2.312079,-0.343235,-3.510519,-1.133952,-5.841008,6.21963,4.242177,2.141535,0.690875,2.737834,-0.987361,5.259153,-1.661418,1.446611,7.026323,2.197002,1.803853,-0.549711,1.043018,2.013538,1.509465,0.733871,7.427472,2.343718,1.32921,-4.295303,-1.945269,-1.695578,1.492645,4.594081,-2.941994,6.030863,-3.288556,-0.833697,5.750939,-3.767424,-3.745655,3.188817,0.098993,3.028866,8.232946,-2.845899,-2.712757,4.196372,-0.36346,-5.55805,-2.140548,6.118301,2.451873,5.218028,1.037906,-0.909171,1.689821,4.506235,4.21666,4.240418,5.717741,3.265906,-0.978019,4.838555,-1.134648,-0.765134,4.743865,4.704735,6.106975,-2.285074,1.756893,6.280331,2.84013,3.322104,4.158984,6.086778,6.713286,6.646388,5.434619,6.298782,-1.675154,3.898164,0.139913,-1.081812,5.715799,3.95293,5.793704,4.492436,4.126949,0.218494,5.345625
"LS-513",2.92366,7.227549,-0.11922,0.163883,-0.72798,7.250009,4.405275,5.30565,3.645758,3.118801,4.376242,5.952636,0.126779,3.09271,7.522025,4.418482,5.902772,0.390668,3.690122,3.790138,2.676229,3.324534,8.081482,6.733268,3.344347,-1.87112,3.580401,-0.240967,0.719328,7.406255,3.366131,7.258451,-2.596096,-1.78934,7.300292,-1.355296,-3.412774,4.184317,3.881438,3.79337,9.58056,-3.672273,-2.92659,5.506352,-0.796321,-1.067784,1.470883,6.843968,3.469438,4.966485,1.486587,-0.882391,2.150599,5.972763,6.300597,5.109664,6.460455,5.193846,-0.288906,3.579295,0.221849,-1.428748,4.947092,5.137212,7.033199,-2.500806,1.461441,6.037004,6.982686,2.584509,5.039304,5.46698,7.089478,1.915489,5.421646,5.194636,-1.95962,2.940365,0.870765,-2.164296,6.795225,6.060879,5.353123,7.199913,4.217878,-0.500043,3.787029
"LU-134-A",-2.693013,-1.206688,-3.218261,-3.063511,-3.052864,7.618338,5.188773,5.89559,1.609451,4.087682,3.908185,3.318853,-0.521042,2.559549,8.769426,3.464487,4.836137,-0.211075,4.131791,6.838132,7.558931,4.414284,7.947995,1.879104,1.463929,-2.371423,3.407963,0.044525,0.82286,7.059065,3.733412,5.249019,-2.862138,-0.828805,6.501415,-3.036178,-4.150678,3.378463,5.321534,2.324013,8.294261,-6.656178,-2.878238,4.750185,2.386467,-3.949459,-0.753502,7.040647,3.185762,-1.602283,0.475169,5.377762,0.148381,2.667253,5.9809,4.776874,6.29043,3.547123,-0.572793,4.282815,-0.7704,-1.949978,4.903171,5.356844,6.735892,-0.476795,3.910471,5.704407,5.522027,0.992066,3.989927,5.974799,6.885851,6.585477,3.779081,6.231832,-1.699017,-0.036002,0.500896,3.302483,6.542972,6.764005,6.451891,6.699105,5.883438,0.344906,2.589875
"LU-135",-4.407327,-1.645952,-6.502551,-3.746622,-5.420291,6.356698,3.305566,0.632017,-1.703567,3.041885,2.092671,4.19045,-0.69301,1.665358,4.90865,4.086508,-0.428504,-0.139422,1.328405,1.019518,0.823382,-0.035118,5.122597,1.033062,1.20861,-8.080813,-2.229303,-1.038076,4.732584,5.100478,1.809463,7.092474,-4.429768,-1.384836,4.364392,-3.588808,-9.497984,3.190467,1.321639,1.180979,6.934014,-5.044487,-4.942046,2.501227,2.014759,-5.2833,-4.14964,5.887976,3.11123,-2.549381,0.102438,5.613883,0.725961,3.166236,6.439894,4.828631,5.910743,2.223508,-1.399703,3.958296,-1.671031,-1.095474,4.942423,4.366924,3.561209,-5.535191,3.418824,2.997474,4.763855,0.405224,3.429122,6.355859,6.306204,6.773251,2.806621,5.414447,-2.020178,1.045519,-0.073413,2.188138,6.138967,4.689317,6.000541,6.51843,2.005166,-0.550704,2.384597
"LU-65",-1.060168,3.427784,-1.191337,0.012396,-3.709464,7.508233,4.685692,3.25965,1.537294,4.615924,4.309216,5.077444,0.506979,2.331592,7.768086,4.928843,3.773965,5.398496,4.591697,4.149796,3.460731,4.400648,6.030908,5.12086,0.798632,-4.768789,0.089936,0.765707,2.771137,4.746876,2.968734,6.211763,-1.598939,-0.935885,5.683332,-1.903348,-3.862535,0.728237,3.769816,2.841505,10.161742,2.754439,2.726415,5.809373,5.847113,0.673553,3.594195,6.259485,4.14378,5.325574,7.069307,6.341059,2.947637,6.61369,6.63025,5.349463,6.357059,5.672562,5.907145,5.340205,5.981702,4.836235,5.706736,5.406013,5.72175,1.350033,4.344933,6.904543,6.211997,6.68988,5.555034,6.928395,6.679572,6.865668,5.776177,6.462482,3.639557,6.242644,5.484391,3.053533,6.339092,3.57321,6.677722,3.37044,4.746243,3.428348,6.699212
"LU-99A",-1.920366,0.886953,2.212378,-1.495053,-5.076907,7.064646,4.740417,4.703817,-0.58252,4.867003,-0.166039,4.687901,-0.30154,3.302311,5.280879,3.181618,2.930691,0.259013,5.126709,3.725968,0.212471,4.553425,6.352358,3.632248,2.234769,-6.603071,-0.243177,-0.806195,1.244458,6.433319,-5.468024,6.288377,-2.619108,-2.330588,5.51586,-2.855025,-5.234571,4.532603,1.958777,2.1445,10.370053,-5.558687,-3.871369,1.457321,-1.322655,-4.258187,-1.2952,5.293441,3.185694,4.988176,1.880974,1.376101,-2.079979,3.831511,5.849132,4.333972,5.813868,4.65381,1.461738,3.796667,0.01379,-2.77464,4.845309,4.536474,4.501975,-0.01904,3.626287,6.457426,5.429261,1.892059,4.755583,5.301213,5.999324,3.555369,4.697487,5.574345,-2.143804,1.495283,-0.252968,1.650874,6.456373,6.314107,6.40171,6.40326,2.520619,-1.295489,1.949799
"LXF-289",-2.214181,0.730068,-5.709648,-2.893647,-5.363462,7.498103,4.850074,2.029885,-1.109724,4.016502,2.12339,0.438925,-0.226489,0.948848,5.560553,3.526942,0.722502,1.185268,0.565697,2.196905,1.678792,5.887784,8.257316,0.337558,2.405582,-11.92218,-1.347694,1.556971,3.684077,2.597085,-0.439669,6.099786,-3.623737,-1.726668,3.988393,-3.118735,-8.39113,3.97117,1.417363,4.548037,7.014798,-3.921677,-5.201554,3.161664,-1.303401,-6.835301,2.62886,5.237857,3.460414,3.324833,0.474059,0.728141,-3.070532,4.330299,4.879013,1.21579,6.056049,1.096735,-0.722993,2.615423,-1.422368,-3.995533,3.366357,2.732448,2.48702,-3.774065,3.033743,6.602773,3.968864,-0.12054,1.760004,3.288225,5.486998,5.235238,2.290929,0.486563,-3.698666,-0.340471,-1.149932,-1.67646,6.846348,5.793097,5.088918,3.63771,1.968358,-2.619394,3.696069
"LoVo",-2.503259,0.723099,-5.164829,-0.842383,-4.840646,6.981676,4.632031,1.517369,1.442167,2.725622,3.215999,0.552878,-0.828621,2.192286,6.857917,2.755419,-0.308038,0.289002,1.588938,1.352973,0.69495,5.084508,5.539945,2.293839,0.957573,-4.561676,-2.439549,0.417046,5.093699,1.777631,-2.64266,6.074302,-3.235799,-3.369495,3.914858,-4.236164,-6.294138,4.46299,-1.423312,0.992479,8.398896,-4.204524,-5.111776,4.063504,-0.398633,-3.542773,2.620628,5.001462,-0.151917,2.582586,0.640856,-0.925704,1.180025,4.215033,5.764997,0.681474,4.750767,2.830196,-1.822232,4.522521,-3.446283,1.640686,5.28594,4.385815,1.936204,-2.543949,0.745724,5.835124,3.102072,2.638227,-0.142157,6.305802,5.898055,1.794462,4.538072,5.555174,-3.028167,-0.251158,-1.599377,-2.728907,4.16168,2.768403,4.083319,5.379886,5.381486,-1.826775,4.37186
"M059J",-3.462006,-1.01058,-3.859287,-2.296629,-4.264722,2.699755,4.4801,3.19813,0.330963,2.36182,1.163692,2.869753,-0.076631,1.880419,6.293661,2.023592,2.849221,-2.008482,3.60085,2.571389,1.782495,4.458046,5.519649,4.270505,1.043936,-4.529681,0.306251,0.722772,5.57048,5.040233,1.326286,6.19816,-3.798106,-6.214853,2.328018,-2.874628,-6.617696,3.524887,4.132605,3.480245,7.707644,-5.497968,-4.19548,2.33968,0.600466,-5.998149,2.716279,6.235983,2.790182,2.547312,1.659674,3.503704,-2.139042,4.345353,5.789942,5.304668,6.060935,3.966045,0.066046,5.27261,-0.662276,-2.404909,4.961225,4.535238,6.973517,-3.884827,3.93232,6.4653,5.455186,0.31956,4.464976,6.905238,4.999289,6.073311,4.775402,6.390561,-2.755389,3.201258,1.023593,2.747911,6.237705,7.141078,4.685047,5.158737,2.650483,0.265475,4.95811
"M14",-0.099523,2.07259,-0.664256,0.290877,-3.857548,5.971882,3.92155,5.854275,2.762865,3.140404,3.76859,5.378976,-1.07308,5.099747,7.528241,4.1829,1.997266,0.400577,4.651992,2.398469,4.421607,5.075772,7.574073,6.506123,5.13503,-4.26877,-0.776981,1.885342,4.324564,3.981212,1.170797,6.886802,-1.523111,-4.471378,4.476456,-1.210104,-3.288034,3.908521,6.36307,3.347236,7.8162,-4.400477,-4.764444,5.114528,-0.542689,-6.050063,0.664223,6.028442,3.236509,4.708276,0.982054,-3.554226,-0.76989,6.201053,5.921642,1.50139,6.334469,3.615346,-1.933564,5.252943,-2.984636,-2.536719,5.076301,3.661021,4.995027,-2.101196,3.787212,6.638268,-1.525239,1.653335,2.567521,6.598505,5.47286,6.489642,4.524321,4.817425,-2.812747,1.195931,-0.751402,-6.53754,6.172747,5.694591,4.126414,4.895539,4.080666,1.039405,4.979921
"MC-IXC",-2.689663,-2.161755,-6.090412,-7.35719,-6.511864,6.373528,4.621278,2.949235,-1.323187,3.997033,0.704449,3.646606,-2.065823,3.513498,4.571914,3.726027,0.23102,-0.94834,0.721078,1.684734,0.919859,1.630949,5.080183,3.701253,3.931218,-3.280378,-1.064198,-1.715009,0.688034,2.076124,1.097589,6.852404,-4.053591,-4.257129,0.108965,-2.996822,-5.7905,3.275819,1.015926,2.524568,7.482906,-7.575184,-5.814118,0.518387,-3.184233,-7.428369,2.252648,-1.868466,0.972494,2.545675,0.164508,4.073741,0.70879,1.290315,6.041338,4.034456,6.206408,3.375422,-2.05235,4.899565,-4.308447,0.353264,4.541708,5.154795,4.949221,-4.937779,2.457263,2.503831,4.37853,1.06309,4.585423,5.384325,6.862103,4.609527,5.398666,4.416335,-2.658115,2.004141,-0.318583,2.25458,3.473532,3.425065,5.305462,4.611304,1.057068,-2.585868,1.265888
"MCF7",-4.452445,-0.185724,-8.903426,-4.276104,-5.296161,6.488891,3.67125,0.813717,-1.100394,3.946529,2.46917,6.149696,-0.943361,4.518636,9.63954,4.419779,0.056817,-0.832749,3.474022,2.121826,0.97053,3.564203,0.779648,0.597626,0.137885,-8.937566,-6.444817,-2.375282,1.638059,5.612837,0.153439,6.140842,-5.69911,-2.980012,3.357223,-4.003913,-9.354538,3.376452,-1.793969,0.407062,7.546477,-3.733987,-3.43474,4.036734,0.676566,-6.217093,2.784944,3.957988,2.760927,3.817825,1.610912,5.090679,-0.562662,4.519516,6.070632,4.907835,6.22052,3.840598,2.582975,3.106599,1.163306,-2.335379,5.266066,3.362481,4.110682,-3.462324,2.801681,6.799447,3.685447,3.578832,4.384775,6.644975,5.633453,1.694227,2.452447,2.414566,-3.02456,-0.106925,-0.903138,1.350135,1.350448,2.692004,5.00942,4.422325,2.844187,-1.087967,2.083088
"MDA-MB-157",-0.695137,2.534445,3.652042,0.78506,-2.314828,7.280504,4.946214,5.855633,-0.867155,4.722861,0.996015,3.702233,-0.782705,5.47162,6.33941,4.178487,5.181945,-0.451573,4.094261,1.928896,2.150891,3.738996,7.019395,6.736878,6.788735,1.202725,-0.195156,2.636202,4.807544,4.922427,5.726668,7.199398,1.734206,-1.54855,4.821549,-5.296802,-0.055821,4.156133,2.685932,1.956107,9.684057,-1.38386,-0.222749,4.836457,1.736197,-3.664995,1.177403,2.658404,1.37985,1.586702,5.706756,3.109605,-0.654971,4.524275,5.377489,2.621294,4.825877,3.543779,3.548441,3.361922,3.252843,-1.457715,2.767939,3.062572,5.549251,-0.776359,1.578682,4.51232,4.339687,0.540428,1.952605,4.04278,6.718695,4.723283,4.190149,4.937725,-3.340862,1.03682,-0.388465,2.358669,5.803115,4.466935,2.656276,4.939288,2.995085,-0.172727,3.329609
"MDA-MB-175-VII",-0.02888,4.127143,0.922243,1.15,-1.270639,3.853393,4.191697,6.259043,1.886941,4.45135,3.314377,3.409629,1.08421,3.321344,9.055904,3.892583,6.258267,0.719338,2.302381,4.388394,0.700716,5.147496,7.52976,6.406927,3.66883,-1.109399,0.524711,3.030586,3.616975,5.524136,0.412143,6.344077,-1.128633,-1.314413,6.107163,-1.979493,-0.864851,4.543101,4.106274,4.295552,9.991106,-2.488645,-1.318136,4.244827,0.688843,-2.885655,2.858173,5.710739,-0.970532,2.940268,1.729956,0.942339,-1.037624,6.432347,6.488433,2.364582,6.593388,4.910726,1.693805,2.4604,0.134618,-3.395001,5.548021,4.832988,4.807248,-0.31565,-3.376793,7.06567,5.785956,1.922686,4.667793,6.498915,6.006769,2.688599,5.310217,4.182652,-3.231261,-1.041515,-0.549195,-2.214027,5.746888,3.010003,5.720706,3.228894,6.501662,-0.795856,6.270332
"MDA-MB-231",0.425628,2.206784,-3.583582,1.175462,-3.28648,7.555879,4.663448,3.74701,-1.269376,5.302815,2.323509,4.095481,-0.033898,0.914578,5.907734,3.726306,1.426095,0.01532,4.64271,3.082919,2.663073,5.465993,5.63621,4.51802,6.306047,-7.49237,-0.221513,0.960953,3.713323,4.146286,-1.298027,4.40642,-2.398872,-0.427666,4.682328,-2.595467,-3.704485,2.103071,1.762558,2.510156,7.783897,-4.570449,-3.496936,3.455971,-0.629777,-4.682842,3.131048,4.273871,3.569685,4.799332,1.548079,0.115456,-0.380693,4.198033,5.350064,3.863355,5.073597,2.925857,0.472376,4.755556,-0.534633,3.809323,4.954744,5.357014,6.137047,-3.961252,3.342136,4.181188,6.984566,2.108764,4.799661,5.32977,5.936523,6.24569,3.783301,5.611972,-2.253234,2.816226,0.542283,-1.823097,6.252247,5.563885,5.826102,6.447271,1.517102,-2.224943,2.622767
"MDA-MB-361",-1.228765,3.035198,-0.775133,-0.211979,-4.62953,5.693283,4.422787,5.879783,3.385774,5.03151,4.031772,1.260473,0.070264,4.008321,7.431581,2.137693,3.661707,0.549483,-0.713447,2.974179,1.296985,3.323493,3.761953,3.186064,2.621353,-5.354012,-0.002231,2.145158,4.175824,4.16521,-0.329775,5.920707,-2.835054,-1.391363,4.201154,-3.595836,-4.102745,4.025244,0.748784,1.870985,7.173984,-3.368865,-6.399774,2.916008,1.441555,-5.643676,2.509094,5.096632,0.952444,4.388286,0.549027,3.989743,-2.813027,6.021932,5.340376,3.385113,4.563758,4.058542,-0.419078,3.772017,-0.521721,-3.565462,4.794687,3.935347,6.062169,-4.19078,1.711097,6.583115,6.698182,5.42395,3.667839,6.218946,7.149412,5.414116,5.189071,5.257128,-2.795668,-0.833508,-0.670643,-0.106853,4.567167,4.08344,3.744748,4.673294,1.789502,-1.485459,6.14391
"MDA-MB-453",1.579255,6.419267,3.100919,0.076188,-1.611871,6.798734,3.398093,3.885681,3.532991,5.230792,3.559415,2.245814,1.831196,3.664121,11.450904,3.184353,4.029036,0.923838,2.59043,7.076777,2.382965,5.330998,4.557043,3.646158,6.797575,1.187698,0.803434,3.195355,5.024133,3.78056,2.735377,6.531941,-0.101991,-0.448457,4.87461,-3.251487,-2.487132,3.378426,4.287646,3.973436,8.350465,-1.955323,-3.273728,6.166694,1.505332,-5.179283,1.774603,6.819027,3.965918,5.226977,0.807704,5.990015,-0.252475,6.438374,6.244344,4.669676,6.477925,4.985918,0.719996,3.497441,0.649042,-0.3978,5.542295,5.077744,6.230713,-3.361389,2.480859,6.965631,6.342218,5.022845,5.605089,5.720585,6.435408,6.59982,3.544995,5.124766,1.132817,2.833229,0.145177,3.177955,4.776252,1.878801,3.143546,2.498179,3.254003,-1.884643,5.068685
"MDA-MB-468",-2.574682,0.382225,-4.26024,-1.063301,-4.942465,7.607234,4.872454,5.917972,2.567765,5.595947,3.702156,0.430065,-0.057479,0.648526,8.653695,4.083776,4.660174,-0.033719,1.310421,4.378155,0.187142,5.757391,8.062715,5.205957,6.787343,-5.525753,-0.086323,0.702443,5.518397,4.937763,4.2129,6.684322,-2.304078,-4.501979,4.979444,-1.534287,-6.346264,2.414413,2.776579,3.929456,7.441215,-5.210942,-4.076877,1.899596,0.711796,-5.156674,2.858558,6.172876,-0.6161,1.502617,1.33032,1.73687,-0.945908,5.196229,6.57603,1.62153,6.572527,0.964412,-0.303671,3.352319,-0.658915,3.46999,5.201606,4.09366,3.155115,-9.192135,-0.663393,6.167648,6.603827,0.368655,3.522364,4.684926,5.057618,6.542116,4.876681,1.520301,-2.281996,2.545826,0.991723,-2.051194,4.365478,2.677211,4.791651,5.199863,2.926959,-2.424108,5.788334
"ME-180",-1.681592,-0.193825,-3.249318,-3.216253,-3.861278,7.20654,4.579609,4.705789,2.860097,5.159145,0.322033,4.353767,0.340426,4.731207,5.550893,4.45467,1.833851,-1.27687,1.147437,3.420039,1.035376,4.350018,8.36456,3.725723,4.635065,0.780866,0.367361,2.225187,5.478324,5.755712,3.71022,6.867846,-3.040344,-0.52865,4.795344,-2.37324,-5.160898,2.365557,2.676335,4.379507,5.824617,-7.569862,-3.570113,0.81246,-0.308131,-5.513906,0.633965,3.003973,0.123693,3.656379,0.771935,2.470014,-3.512918,5.763839,5.286969,0.601954,5.755414,1.902077,-0.444287,2.789175,-0.369736,-2.472984,4.044914,3.634527,3.685394,-4.552538,0.083011,3.256268,4.662697,1.674261,2.491204,4.883454,5.185039,5.06632,5.068679,1.518452,-2.910796,-0.166805,-1.233512,-0.512296,5.500903,4.954606,4.823699,5.830084,5.4739,-3.075687,4.311928
"MEG-01",-1.733882,1.55797,-6.672203,-0.380731,-3.872804,7.385924,4.487067,1.526339,1.401914,2.196161,-8.966959,9.952741,-0.380028,1.936647,6.182644,5.212796,1.91768,-0.79574,6.315165,3.237737,7.055292,2.57363,4.196285,1.66065,1.663953,-4.529836,-0.790262,0.749728,5.91011,2.804134,-0.927624,6.757631,-1.756969,-0.829111,3.728379,-3.590439,-6.48573,5.211497,1.284656,2.082811,6.607025,-3.350965,-4.316018,3.973309,-0.644742,-2.332519,-3.253182,4.574495,3.333335,-1.403141,0.438373,-0.534691,-1.234398,4.72525,6.000136,-1.886959,6.471521,-1.905099,-2.194528,4.775703,-1.895594,2.11774,2.423615,5.584201,4.822015,2.337299,3.175488,4.412343,3.022118,1.195746,5.42624,5.083214,7.57147,5.209409,3.463595,5.329708,-2.4033,4.171606,-1.048597,-2.166965,6.507322,6.315337,6.707929,3.289961,2.205894,-2.052092,6.436071
"MEL-JUSO",-4.233296,-0.41992,-10.149931,-2.970972,-5.459576,5.847886,4.347844,2.067034,-0.708986,4.553393,0.731653,1.849576,-1.25285,0.547489,5.617068,-1.693879,0.787656,-0.615931,1.930096,2.061084,1.642363,1.597584,4.997896,1.545738,1.007532,-8.593226,-3.699643,-2.637527,0.146342,4.678229,-2.220506,6.849994,-4.08568,-0.930896,5.622538,-3.349263,-6.982951,2.320275,-3.753368,1.294051,11.213272,-3.334932,-4.044776,2.931917,-2.456167,-4.83743,1.556919,6.858621,3.923538,4.635661,1.358802,-0.64224,-2.70845,4.823463,4.802721,0.715222,4.646799,2.292663,-2.030419,3.779737,-0.687512,-4.431589,4.871263,3.214631,6.200427,-4.543308,4.028449,7.21507,5.470988,1.433357,3.629563,5.355926,6.572692,1.7571,5.492346,4.63567,-2.352651,1.221454,-0.213163,-3.732392,4.126672,4.073093,4.154048,3.20643,2.607739,-0.824204,3.505809
"MES-SA",-2.307305,-0.780419,-7.007633,-1.931422,-5.771674,5.759252,4.980881,3.350621,-2.584408,6.016108,-1.41937,2.477509,-0.332822,0.2676,6.972039,4.129826,3.882288,-3.186332,1.025313,2.804415,5.81776,3.162362,3.172737,1.7164,-0.040912,-10.526678,-0.903748,-0.134998,6.034865,7.35285,0.514881,7.824054,-5.399144,-0.968047,2.582837,-2.38254,-6.226981,3.414872,1.528458,1.541634,8.727378,-3.630203,-3.427589,2.016593,-0.258446,-4.806231,-1.717179,5.397151,4.090254,5.434612,1.019248,2.906539,-1.627472,5.700515,6.579503,1.173818,6.465824,0.953066,-0.592989,3.155965,0.029497,-4.09867,5.673782,5.317307,5.780655,-3.833813,3.660632,7.173217,6.798773,1.065417,3.159511,4.591418,6.31762,2.331858,2.394213,3.6709,-3.083554,0.762546,-0.283143,2.940774,5.9678,5.599085,1.482468,6.957088,3.045968,-2.40639,5.795964
"MFE-280",0.511695,3.701315,1.775609,2.12211,-1.935671,6.797365,4.450639,3.842887,1.685601,5.308076,-1.15667,3.09959,2.131593,3.059588,6.939752,4.005463,3.401395,1.598688,3.305914,2.751864,1.018457,4.014554,6.394937,6.059578,6.190149,-3.308865,-0.037799,3.722783,5.618376,6.503559,5.88341,6.430603,-1.029595,-1.480034,4.110569,-2.195655,-2.500945,4.666777,4.560425,5.41617,11.793758,-2.599711,-1.393192,6.111393,3.847386,-1.977136,2.108497,6.373013,3.591129,0.874468,1.752116,5.388276,0.945487,6.173568,6.242288,5.08029,6.432469,3.688006,1.552735,4.502363,1.007685,0.591897,5.208829,4.469063,6.259355,-2.128072,3.970749,6.849525,6.073855,5.303951,4.196665,5.452857,6.173247,6.670544,3.333003,6.243742,-1.030843,1.251076,0.826786,2.408553,6.226431,6.986965,6.320608,5.532387,5.172976,1.523408,5.806342
"MFE-296",-2.652343,-0.270531,-2.969036,-1.250962,-5.117771,5.795759,4.717957,4.535768,0.518502,4.165848,-2.133739,0.45003,-1.745848,0.907418,5.762191,4.247224,1.546654,-0.411829,0.318629,2.669134,1.547328,5.169709,4.86938,2.426808,2.832839,-5.827399,-1.975858,0.728168,5.227266,5.263215,-1.875778,6.083163,-3.762708,-1.830307,-0.527257,-3.136422,-5.920509,4.571237,0.370225,0.43991,8.200959,-5.53302,-5.286358,4.117331,-0.139349,-6.195584,2.199783,5.098898,3.33026,5.137919,1.132909,1.884335,-4.42979,4.928612,4.858301,3.770333,5.832876,0.397985,-1.14261,3.546514,-2.154337,-2.052208,5.317499,3.642927,4.848811,-3.773271,3.520862,5.713662,6.28617,1.612319,2.232326,5.96128,5.488473,3.299529,0.542733,3.010152,-3.709714,3.292117,-2.134836,0.280551,6.508448,6.123289,6.445377,6.044087,4.271577,-9.91783,6.525944
"MFM-223",5.793943,7.031225,5.325486,2.339951,1.437243,6.658602,4.674874,7.479931,4.984546,5.30622,-0.205715,6.987013,1.777355,6.460348,10.572299,4.322179,7.687159,-0.106729,6.536233,4.343522,5.696589,6.164953,4.845081,8.078102,7.429199,1.673703,1.215954,5.900384,6.56506,7.302389,9.304896,8.663322,1.212231,-0.325071,4.012294,-1.325338,0.570635,5.433557,7.52024,5.519067,5.717529,-1.833012,-4.399281,4.399314,0.627518,-5.236,2.96526,5.221696,3.890753,1.109981,2.367879,2.791223,-1.156989,5.550122,6.279008,2.786837,6.396169,-0.66416,-0.585796,1.890181,-0.59837,-0.901246,5.213146,2.743702,6.119423,-4.92537,3.90374,5.807354,6.245835,1.641783,5.17248,3.610497,6.195611,6.687844,-1.217312,5.663683,-2.223827,0.993506,-1.001778,1.778897,6.342986,4.119253,6.474382,6.235143,6.05375,-0.166147,6.051435
"MG-63",-3.81297,0.165504,-6.618956,-1.486425,-5.830081,6.356706,4.72508,1.531962,-1.805633,3.987837,0.025821,1.644462,-0.401521,-0.215211,4.968318,2.747311,0.917852,-1.359592,2.62191,2.265645,1.785412,4.621804,3.749533,2.8149,3.93195,-5.881221,-1.542625,-1.286552,3.986103,-0.237247,0.398549,6.143972,-3.977226,-0.962226,0.001455,-2.951873,-8.711208,2.792465,0.610257,1.189984,7.606202,-4.872549,-4.257537,4.609352,0.939951,-6.26081,-1.624042,5.441233,3.429064,5.351872,2.003976,1.03745,-2.007354,4.081883,5.981581,5.112958,5.840989,4.512334,3.168312,4.359595,-0.810613,0.761323,4.203875,2.011368,3.848095,1.033612,1.702494,4.166651,7.34126,0.522161,1.28834,6.288931,6.03715,6.208014,1.0793,5.890456,-3.75308,-0.614137,-1.294364,-1.107179,3.664102,3.20858,3.773792,3.420979,2.428402,-2.184994,2.50696
"MHH-ES-1",-3.83598,-0.770646,-9.843186,-4.1189,-5.54841,6.034736,4.499931,2.714994,-1.388679,1.397594,1.642727,4.723121,-1.293452,0.585383,4.742616,2.470218,0.972881,-0.37315,1.929243,2.762994,1.86131,4.322891,7.336359,2.613475,2.399715,-5.476576,-1.680463,-2.103254,1.7226,5.637333,-3.133499,5.381129,-4.371973,-0.926637,5.276416,-3.409536,-7.02092,3.638986,1.661088,2.471791,7.042686,-8.98482,-5.995012,0.841311,-3.06298,-7.046593,-2.456798,5.8212,3.521313,3.106948,-0.022045,5.617002,-4.722417,-0.216402,3.367154,0.747208,4.879786,-0.091929,-1.960481,0.364182,-1.548863,-1.338169,3.278016,1.761482,3.637758,-6.0352,2.290118,5.138435,5.863173,0.579134,4.32331,4.724329,3.429688,6.20539,3.312055,3.467859,-3.100476,0.754452,-0.461821,-2.343376,5.327495,1.963932,4.933012,5.37085,0.755854,-2.146328,-1.732071
